Elapsed time,HTTP Request
19:26:16.600,17.0
19:26:16.800,3.3333333333333335
19:26:16.900,2.8
19:26:17.0,2.0
19:26:17.100,2.6
19:26:17.200,3.6666666666666665
19:26:17.300,3.4
19:26:17.400,2.2857142857142856
19:26:17.500,2.5
19:26:17.600,44.0
19:26:17.800,17.0
19:26:17.900,13.0
19:26:18.100,28.0
19:26:18.200,14.0
19:26:18.300,28.0
19:26:18.400,20.0
19:26:18.500,67.0
19:26:18.600,24.0
19:26:18.700,15.0
19:26:18.800,19.0
19:26:18.900,9.666666666666666
19:26:19.0,26.0
19:26:19.100,22.0
19:26:19.200,10.666666666666666
19:26:19.300,7.5
19:26:19.400,4.0
19:26:19.500,3.5
19:26:19.600,3.8
19:26:19.700,10.666666666666666
19:26:19.900,11.333333333333334
19:26:20.0,13.0
19:26:20.100,8.333333333333334
19:26:20.200,9.0
19:26:20.300,13.333333333333334
19:26:20.400,8.0
19:26:20.500,44.0
19:26:20.600,43.5
19:26:20.700,30.5
19:26:20.800,28.5
19:26:20.900,30.0
19:26:21.0,38.0
19:26:21.100,30.0
19:26:21.200,29.0
19:26:21.300,25.5
19:26:21.400,36.0
19:26:21.500,6.0
19:26:21.600,12.142857142857142
19:26:21.700,15.4
19:26:21.800,10.666666666666666
19:26:21.900,22.0
19:26:22.0,14.636363636363637
19:26:22.100,4.166666666666667
19:26:22.200,8.6
19:26:22.300,16.142857142857142
19:26:22.400,22.5
19:26:22.500,21.6
19:26:22.600,6.7
19:26:22.700,5.285714285714286
19:26:22.800,5.666666666666667
19:26:22.900,5.25
19:26:23.0,21.333333333333332
19:26:23.100,15.666666666666666
19:26:23.200,10.2
19:26:23.300,17.5
19:26:23.400,15.8
19:26:23.500,8.636363636363637
19:26:23.600,13.125
19:26:23.700,18.5
19:26:23.800,4.8
19:26:23.900,6.625
19:26:24.0,4.0
19:26:24.100,3.9285714285714284
19:26:24.200,3.5
19:26:24.300,11.714285714285714
19:26:24.400,19.0
19:26:24.500,22.0
19:26:24.600,14.75
19:26:24.700,6.5
19:26:24.800,6.75
19:26:24.900,8.125
19:26:25.0,8.0
19:26:25.100,32.666666666666664
19:26:25.200,31.5
19:26:25.300,34.0
19:26:25.400,27.6
19:26:25.500,16.25
19:26:25.600,10.166666666666666
19:26:25.700,12.0
19:26:25.800,10.25
19:26:25.900,25.166666666666668
19:26:26.0,12.1
19:26:26.100,3.75
19:26:26.200,10.0
19:26:26.300,16.857142857142858
19:26:26.400,25.166666666666668
19:26:26.500,3.4444444444444446
19:26:26.600,4.625
19:26:26.700,9.3
19:26:26.800,30.333333333333332
19:26:26.900,17.0
19:26:27.0,18.2
19:26:27.100,5.428571428571429
19:26:27.200,13.5
19:26:27.300,16.0
19:26:27.400,5.7368421052631575
19:26:27.500,4.1
19:26:27.600,2.576923076923076
19:26:27.700,16.714285714285715
19:26:27.800,19.7
19:26:27.900,4.631578947368421
19:26:28.0,9.333333333333334
19:26:28.100,10.416666666666666
19:26:28.200,36.0
19:26:28.300,34.166666666666664
19:26:28.400,21.75
19:26:28.500,14.5
19:26:28.600,11.8
19:26:28.700,13.0
19:26:28.800,16.142857142857142
19:26:28.900,4.0
19:26:29.0,16.53846153846154
19:26:29.100,8.61111111111111
19:26:29.400,204.66666666666666
19:26:29.600,83.11111111111111
19:26:29.700,6.0
19:26:29.800,14.6
19:26:29.900,17.285714285714285
19:26:30.0,9.5
19:26:30.100,14.272727272727273
19:26:30.200,13.75
19:26:30.300,3.6551724137931036
19:26:30.400,2.0000000000000004
19:26:30.500,13.875
19:26:30.600,18.75
19:26:30.700,8.0
19:26:30.800,5.466666666666667
19:26:30.900,11.0
19:26:31.0,8.636363636363637
19:26:31.100,35.285714285714285
19:26:31.200,31.625
19:26:31.300,16.875
19:26:31.400,7.222222222222222
19:26:31.500,11.2
19:26:31.600,14.631578947368421
19:26:31.700,6.565217391304348
19:26:31.800,20.923076923076923
19:26:31.900,3.1481481481481484
19:26:32.0,8.875
19:26:32.100,16.2
19:26:32.200,20.285714285714285
19:26:32.300,9.777777777777779
19:26:32.400,13.928571428571429
19:26:32.500,9.526315789473685
19:26:32.600,3.44
19:26:32.700,3.92
19:26:32.800,14.222222222222221
19:26:32.900,20.75
19:26:33.0,5.875
19:26:33.100,9.3
19:26:33.200,22.9
19:26:33.300,34.77777777777778
19:26:33.400,18.416666666666668
19:26:33.500,11.6
