Elapsed time,200,400
19:26:16.0,9.0,
19:26:17.0,34.0,4.0
19:26:18.0,12.0,
19:26:19.0,29.0,
19:26:20.0,25.0,
19:26:21.0,37.0,
19:26:22.0,89.0,
19:26:23.0,62.0,6.0
19:26:24.0,88.0,4.0
19:26:25.0,57.0,
19:26:26.0,102.0,
19:26:27.0,122.0,10.0
19:26:28.0,102.0,
19:26:29.0,73.0,
19:26:30.0,133.0,10.0
19:26:31.0,135.0,
19:26:32.0,131.0,10.0
19:26:33.0,142.0,
19:26:34.0,152.0,10.0
19:26:35.0,129.0,
19:26:36.0,152.0,10.0
19:26:37.0,144.0,
19:26:38.0,168.0,10.0
19:26:39.0,162.0,
19:26:40.0,139.0,10.0
19:26:41.0,68.0,
19:26:42.0,125.0,6.0
19:26:43.0,148.0,4.0
19:26:44.0,139.0,
19:26:45.0,171.0,10.0
19:26:46.0,140.0,6.0
19:26:47.0,158.0,4.0
19:26:48.0,153.0,6.0
19:26:49.0,153.0,4.0
19:26:50.0,192.0,10.0
19:26:51.0,154.0,
19:26:52.0,148.0,10.0
19:26:53.0,137.0,
19:26:54.0,165.0,10.0
19:26:55.0,162.0,
19:26:56.0,158.0,10.0
19:26:57.0,165.0,
19:26:58.0,149.0,10.0
19:26:59.0,149.0,
19:27:00.0,152.0,10.0
19:27:01.0,148.0,
19:27:02.0,159.0,10.0
19:27:03.0,138.0,2.0
19:27:04.0,110.0,8.0
19:27:05.0,173.0,
19:27:06.0,156.0,10.0
19:27:07.0,152.0,3.0
19:27:08.0,167.0,7.0
19:27:09.0,148.0,6.0
19:27:10.0,166.0,4.0
19:27:11.0,189.0,9.0
19:27:12.0,153.0,1.0
19:27:13.0,187.0,10.0
19:27:14.0,160.0,
19:27:15.0,129.0,10.0
19:27:16.0,70.0,
